Feature,Importance
Age,0.11777216
Systolic BP 2,0.05293721
BMI,0.050951652
Systolic BP 1,0.039864786
Waist circumference,0.03730301
Race/ethnicity,0.02792138
Diastolic BP 1,0.022866933
Education,0.017519811
Income ratio,0.017054716
Gender,0.016212286
Diastolic BP 2,0.0137979
