lambda,mean_auc,auc_range,auc_2011-12,auc_2013-14,auc_2015-16,auc_2017-18
0.1,0.8218,0.0165,0.8161,0.8326,0.8186,0.8199
0.5,0.8218,0.0165,0.8161,0.8326,0.8186,0.8199
1.0,0.8218,0.0165,0.8161,0.8325,0.8186,0.8199
2.0,0.8218,0.0165,0.8161,0.8326,0.8185,0.8199
5.0,0.8218,0.0164,0.8161,0.8325,0.8186,0.8199
