Split,Model,Environment,N,AUC,AUC_CI_lo,AUC_CI_hi,Accuracy,F1,ECE
Split_C,ERM,2017-18,3806,0.8133,0.799,0.8261,0.742,0.6759,0.0234
Split_C,IRM,2017-18,3806,0.8124,0.7985,0.8252,0.7412,0.6778,0.0257
Split_C,CausTab,2017-18,3806,0.813,0.7989,0.8257,0.7409,0.6752,0.0228
